cycSecs,cycMps,cycGrade,cycRoadType
0,6.611672479,0,0
1,6.567000604,0,0
2,6.522592696,0,0
3,6.478448766,0,0
4,6.434568803,0,0
5,6.390952814,0,0
6,6.347600797,0,0
7,6.304512748,0,0
8,6.261688672,0,0
9,6.219128569,0,0
10,6.176832438,0,0
11,6.134800275,0,0
12,6.093032085,0,0
13,6.051527868,0,0
14,6.010287623,0,0
15,5.969311347,0,0
16,5.928599043,0,0
17,5.888150712,0,0
18,5.847966353,0,0
19,5.808045967,0,0
20,5.76838955,0,0
21,5.728997104,0,0
22,5.689868628,0,0
23,5.651004128,0,0
24,5.612403596,0,0
25,5.574067037,0,0
26,5.535994451,0,0
27,5.498185833,0,0
28,5.460641187,0,0
29,5.423360515,0,0
30,5.386343814,0,0
31,5.349591082,0,0
32,5.313102328,0,0
33,5.276877541,0,0
34,5.240916722,0,0
35,5.205219881,0,0
36,5.169787008,0,0
37,5.134618107,0,0
38,5.099713179,0,0
39,5.06507222,0,0
40,5.030695233,0,0
41,4.996582218,0,0
42,4.962733176,0,0
43,4.929148107,0,0
44,4.895827006,0,0
45,4.862769878,0,0
46,4.829976722,0,0
47,4.797447535,0,0
48,4.76518232,0,0
49,4.733181078,0,0
50,4.701443808,0,0
51,4.669970512,0,0
52,4.638761183,0,0
53,4.607815827,0,0
54,4.577134443,0,0
55,4.546717028,0,0
56,4.51656359,0,0
57,4.48667412,0,0
58,4.45704862,0,0
59,4.427687093,0,0
60,4.398589538,0,0
61,4.369755954,0,0
62,4.341186342,0,0
63,4.312880702,0,0
64,4.284839033,0,0
65,4.257061336,0,0
66,4.22954761,0,0
67,4.202297856,0,0
68,4.175312073,0,0
69,4.148590261,0,0
70,4.122132421,0,0
71,4.095938553,0,0
72,4.070008657,0,0
73,4.044342731,0,0
74,4.018940778,0,0
75,3.993802796,0,0
76,3.968928786,0,0
77,3.944318746,0,0
78,3.919972679,0,0
79,3.895890583,0,0
80,3.872072459,0,0
81,3.848518306,0,0
82,3.825228125,0,0
83,3.802201915,0,0
84,3.779439677,0,0
85,3.75694141,0,0
86,3.734707115,0,0
87,3.712736792,0,0
88,3.69103044,0,0
89,3.669588059,0,0
90,3.64840965,0,0
